,en,es
job_mowgrass,"I require the assistance of brave, intrepid aphids... to mow the grass!
This grass tufts are blocking my whole yard and I need them OUT.","Necesito la asistencia de intrepidos y valerosos áfidos... para cortar hierba!
Estos mates estan invadiendo mi jardín y los quiero FUERA."
job_cratetransport,"Needing a few aphids for crate transportation.
Preferably, with five years of entry experience.","Necesito un par de áfidos para transporte de suministros.
Preferiblemente con cinco años de experiencia como practicante."
job_lesserbug,"Doing some research in lesser bugs.
I just need one who listens well, that's all...","Haciendo una investigación en bichos menores.
Solo necesito uno que sepa escuchar, eso es todo..."
job_adrun,"Needing some advertising on the go!
No skills required, just a lot of enthusiasm!","Necesitamos publicidad!
No se necesitan habilidades, solo un monton de entusiasmo!"
job_deliveryrun,"In need of delivery bugs. We need them now and fast!
We got lots of packages already, so please contact us as soon as you can.","Necesitamos bichos de servicio. Ahora o nunca!
Tenemos varios paquetes acumulados, así que porfavor, contactenos lo más rapido que pueda."
job_schoolrent,"Looking to rent an aphid for a school class. The children would love it!
Just need it to be well behaved. ","Viendo si puedo rentar un áfido para una clase.
Estoy segura que a los chicos les encantara!
Solo lo necesito que sea bien portado."
job_treasurehunter,"There's lots of treasure hidden beneath the sands.
We could do with a few lil scavengers.","Hay varios tesoros enterados debajo de las arenas.
Nos podrian ser utiles un par de recolletores."
job_therapyservice,"Requesting aphids for general therapy and support services.
Only requirement is for them to understand my orders.","Requerio áfidos para fines de terapia y servicios de salud.
Unico requerimiento es que entiendan mis ordenes."
job_landwork,"Local workers needing a hand for land renovation!
Cleaning the area is gonna be hard so, any strong arms appreciated.","Trabajadores locales necesitan una mano para renovación de parcela!
Limpiar el area sera duro, pero cualquier par de brazos fuertes se agradece."
job_mowweed,"Having a problem with unwanted plant residents!
Need someone who can slice the life out of this weeds.","Tengo un problema con inquilinos plantiferos no deseados!
Necesito alguien que pueda cortar estas hierbas desde la raiz."
job_berrytransport,"Berry transport cargo in need of mules.
We'll even give you a part of the supply as thanks! (Just don't tell the queen)","Transporte de cargamento de bayas en necesidad de mulas.
Te daremos una parte del encargo como agradecimiento! (Solo no lo digas a la reina)"
job_lostrescue,Emergency crew in need of a trained searcher for the rescue of lost explorers.,"Equipo de emergencia requiere de un buscador entrenado
para el rescate de exploradores perdidos."
job_tunnelwork,"Work in the tunnels is getting rough.
Will be needing some extra hands on board.","Trabajo en los tuneles se ha hecho agotador.
Necesitaremos un par de manos extra a bordo."
job_theateractor,"Help Wanted! The theater requires actors, great and handsome actors!
Respond to this request if you think you have what I want.",WIP
job_bridgerepair,"Requesting assistance for bridge repair operation.
The stronger, the better.",WIP
job_chompyplay,"Requesting a playmate for Chompy, let it be known, she plays rough.
Looking forward to it.",WIP
job_queenrequest,"The queen has requested to see one of your aphids from the resort.
She states that “they look like little adorable fellas” and such demands a demonstration.
Bring one of great mind alike!",WIP
job_chompfight,"The chomp infestation is getting out of hands.
Requesting the strongest bugs the settlement can send, quick!",WIP
job_goldenhunt,"Going on a hunt for golden seedlings, and I will need a companion who is tougher than the toughies, smarter than the smarties,
and sharper than the sharpies.",WIP
job_pestcontrol,"Threat arises from the shadows, requesting strong companions for
pest control.",WIP
job_wizardfetch,"I need someone to go fetch me some ingredients, and it better be quick!
Just leave them by the door.",WIP
job_nesthunt,"Scout teams need to follow a trace for a potential nest of mantidflies, 
and they could do with a bug with incredible hunting skills.",WIP
job_campattack,"Attacks by the deadlanders have obliterated our camps.
We plead for a loyal guard who can keep them at bay.",WIP
job_adventure,"Adventuring deeper on unknown areas, and as the paths become more puzzling,
we need a companion who can wiggle us out of trouble.",WIP
job_mothflyrequest,"(The request note is barely legible but you can see the crude drawing of an aphid)
(It also has a berry symbol, so they pay for sure!)",WIP
job_bosstest,Needing some test subjects for sustained battle simulations and I heard from a friend one of you could grant me one worthy subject.,WIP
job_makitest,"Sir Maki is looking to “test” some newcomers with a rather eccentric way of combat, his idea, not mine!",WIP
